City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Fortuna,US,2020-11-04 00:18:04,40.6,-124.16,62.01,93,1,13.87
151,Murray Bridge,AU,2020-11-04 00:19:50,-35.12,139.27,61.0,95,99,3.0
152,Otjimbingwe,NA,2020-11-04 00:19:50,-22.35,16.13,59.86,57,84,0.67
153,Sola,VU,2020-11-04 00:19:50,-13.88,167.55,81.59,76,89,9.91
154,Port-Cartier,CA,2020-11-04 00:19:50,50.03,-66.87,23.0,57,34,11.41
155,Selestat,FR,2020-11-04 00:19:51,48.26,7.46,48.2,81,90,2.24
156,Harper,LR,2020-11-04 00:19:51,4.38,-7.72,78.57,87,9,8.32
157,Bonthe,SL,2020-11-04 00:19:51,7.53,-12.51,79.25,85,10,2.95
158,Iqaluit,CA,2020-11-04 00:19:51,63.75,-68.51,15.8,78,75,29.97
159,Soure,BR,2020-11-04 00:19:51,-0.72,-48.52,81.54,82,100,9.51
160,Hamilton,US,2020-11-04 00:19:52,39.18,-84.53,53.01,66,1,3.36
161,Reconquista,AR,2020-11-04 00:19:52,-29.15,-59.65,65.77,67,0,8.7
162,Okhotsk,RU,2020-11-04 00:19:52,59.38,143.3,32.45,93,100,31.61
163,Lima,PE,2020-11-04 00:15:48,-12.04,-77.03,64.4,72,0,10.29
164,Hosakote,IN,2020-11-04 00:19:52,14.28,77.17,71.46,86,18,6.08
165,Port Hedland,AU,2020-11-04 00:19:52,-20.32,118.57,84.2,51,0,10.29
166,Aswan,EG,2020-11-04 00:19:53,24.09,32.91,67.3,43,0,11.92
167,Severodvinsk,RU,2020-11-04 00:19:53,64.56,39.83,46.4,93,90,6.71
168,Cockburn Town,TC,2020-11-04 00:16:13,21.46,-71.14,81.45,79,100,16.55
169,Berlevag,NO,2020-11-04 00:19:53,70.86,29.09,42.24,73,40,24.43
170,Humaita,BR,2020-11-04 00:19:53,-7.51,-63.02,73.2,95,82,1.99
171,Razole,IN,2020-11-04 00:19:53,16.48,81.83,75.07,90,16,3.94
172,Aykhal,RU,2020-11-04 00:19:54,66.0,111.5,1.4,84,75,2.24
173,Shar,KZ,2020-11-04 00:19:54,49.59,81.05,26.8,94,91,10.4
174,Yellowknife,CA,2020-11-04 00:17:07,62.46,-114.35,1.99,84,40,5.82
175,Saldanha,ZA,2020-11-04 00:19:54,-33.01,17.94,59.0,93,21,3.36
176,Merke,KZ,2020-11-04 00:19:54,42.87,73.18,42.71,52,0,1.7
177,Faanui,PF,2020-11-04 00:19:54,-16.48,-151.75,79.29,82,96,18.9
178,Gat,IL,2020-11-04 00:19:55,31.61,34.76,64.99,84,18,5.32
179,Iquitos,PE,2020-11-04 00:19:55,-3.75,-73.25,87.8,66,20,2.24
180,Dunedin,NZ,2020-11-04 00:19:55,-45.87,170.5,57.0,81,0,15.01
181,The Valley,AI,2020-11-04 00:19:55,18.22,-63.06,82.4,74,20,12.75
182,Lagoa,PT,2020-11-04 00:19:55,39.05,-27.98,61.63,71,36,19.95
183,Marapanim,BR,2020-11-04 00:19:56,-0.72,-47.7,77.67,88,100,3.58
184,Kysyl-Syr,RU,2020-11-04 00:19:56,63.9,122.76,6.26,94,100,3.44
185,Hue,VN,2020-11-04 00:19:56,16.47,107.6,71.6,94,75,4.7
186,Faya,SA,2020-11-04 00:19:56,18.39,42.45,59.0,87,0,3.36
187,Ahipara,NZ,2020-11-04 00:19:56,-35.17,173.17,69.21,70,100,14.38
188,Florianopolis,BR,2020-11-04 00:19:56,-27.61,-48.5,64.4,82,75,5.82
189,Rawson,AR,2020-11-04 00:19:57,-43.3,-65.1,65.16,57,61,8.93
190,Nena,PH,2020-11-04 00:19:57,11.77,125.42,79.29,84,100,4.63
191,Cabo San Lucas,MX,2020-11-04 00:19:57,22.89,-109.91,82.4,74,5,5.82
192,Leh,IN,2020-11-04 00:15:42,34.17,77.58,27.66,72,91,3.06
193,Baghdad,IQ,2020-11-04 00:15:32,33.34,44.4,64.4,48,56,3.36
194,Hobyo,SO,2020-11-04 00:19:57,5.35,48.53,80.17,82,95,10.36
195,Kulhudhuffushi,MV,2020-11-04 00:19:57,6.62,73.07,81.52,67,0,2.84
196,Shizunai,JP,2020-11-04 00:19:58,42.33,142.37,42.22,70,88,24.45
197,Acapulco,MX,2020-11-04 00:15:08,16.86,-99.89,86.0,70,20,9.17
198,Upington,ZA,2020-11-04 00:19:58,-28.45,21.26,68.0,72,0,11.41
199,Kununurra,AU,2020-11-04 00:18:33,-15.77,128.73,87.8,55,10,9.17
200,Kodiak,US,2020-11-04 00:19:58,57.79,-152.41,30.2,36,1,17.22
201,Isla Vista,US,2020-11-04 00:18:28,34.41,-119.86,71.01,72,1,5.82
202,Newtownards,GB,2020-11-04 00:19:59,54.59,-5.69,43.0,86,7,8.05
203,Calabozo,VE,2020-11-04 00:19:59,8.92,-67.43,75.92,89,21,4.59
204,Zakamensk,RU,2020-11-04 00:19:59,50.37,103.29,22.35,91,67,1.48
205,Moussoro,TD,2020-11-04 00:19:59,13.64,16.49,82.76,19,0,15.1
206,Cherskiy,RU,2020-11-04 00:20:00,68.75,161.3,-5.94,85,0,3.31
207,Te Anau,NZ,2020-11-04 00:20:00,-45.42,167.72,67.42,57,11,7.83
208,Bulgan,MN,2020-11-04 00:20:00,48.81,103.53,24.75,84,12,1.79
209,Port Hardy,CA,2020-11-04 00:20:00,50.7,-127.42,51.8,93,90,13.65
210,Sur,OM,2020-11-04 00:20:01,22.57,59.53,68.5,45,0,4.79
211,Norman Wells,CA,2020-11-04 00:20:01,65.28,-126.83,-0.4,84,75,3.36
212,Biak,ID,2020-11-04 00:20:01,-0.91,122.88,81.18,72,85,3.22
213,Sao Joao Da Barra,BR,2020-11-04 00:20:01,-21.64,-41.05,70.48,72,14,12.37
214,Torbay,CA,2020-11-04 00:20:02,47.67,-52.73,37.99,76,90,6.93
215,Barbastro,ES,2020-11-04 00:20:02,42.04,0.13,50.0,81,90,2.24
216,Pouebo,NC,2020-11-04 00:20:02,-20.4,164.57,80.85,61,100,4.5
217,Alice Springs,AU,2020-11-04 00:20:02,-23.7,133.88,91.4,9,0,9.17
218,Belomorsk,RU,2020-11-04 00:20:02,64.52,34.77,42.51,85,38,9.57
219,Qarqin,AF,2020-11-04 00:20:03,37.42,66.04,53.15,35,0,6.35
